invoice_no,vendor,date,description,quantity,rate
INV-1010,Carrier B,2025-08-11,Pallet charge,4,120
INV-1010,Carrier B,2025-08-11,Dock fee,9,75
INV-1011,Carrier B,2025-08-13,Dock fee,9,50
INV-1011,Carrier B,2025-08-13,Pallet charge,10,100
INV-1011,Carrier B,2025-08-13,Fuel surcharge,6,150
INV-1012,Carrier B,2025-08-17,Dock fee,4,150
INV-1012,Carrier B,2025-08-17,Storage fee,8,100
INV-1012,Carrier B,2025-08-17,Handling fee,2,100
INV-1013,Carrier C,2025-08-08,Handling fee,6,120
INV-1013,Carrier C,2025-08-08,Fuel surcharge,6,50
INV-1013,Carrier C,2025-08-08,Pallet charge,6,75
INV-1014,Carrier C,2025-08-20,Storage fee,4,100
INV-1014,Carrier C,2025-08-20,Dock fee,6,75
INV-1014,Carrier C,2025-08-20,Handling fee,9,50
INV-1015,Carrier A,2025-08-08,Dock fee,8,75
INV-1016,Carrier B,2025-08-13,Handling fee,3,50
INV-1016,Carrier B,2025-08-13,Dock fee,7,100
INV-1017,Carrier B,2025-08-13,Handling fee,10,120
INV-1017,Carrier B,2025-08-13,Storage fee,7,75
INV-1017,Carrier B,2025-08-13,Fuel surcharge,7,120
INV-1018,Carrier B,2025-08-28,Storage fee,7,120
INV-1019,Carrier A,2025-08-30,Handling fee,10,75
INV-1020,Carrier C,2025-08-03,Pallet charge,9,50
INV-1020,Carrier C,2025-08-03,Dock fee,3,75
INV-1021,Carrier C,2025-08-02,Pallet charge,9,50
INV-1021,Carrier C,2025-08-02,Handling fee,2,75
INV-1021,Carrier C,2025-08-02,Storage fee,1,50
